hall_id,hall_name,aspect,cross_score,text
1008,삼성 노블발렌티,guest_flow,0.9826,단독홀로 하객 동선이 단순하고 편리함
1154,강서 루이비스컨벤션,hall_vibe,0.9747,"밝은 단독 홀, 동선이 깔끔함"
1054,강서 루이비스,guest_flow,0.9409,하객 이동이 편리함
1186,상동 라비에벨 오페라홀,guest_flow,0.9037,"단독 홀로 하객 섞일 걱정 없음, 이동 동선 편리"
1084,부천 라비에벨 웨딩,guest_flow,0.8847,단독홀로 하객 동선이 복잡하지 않음
1168,문래 규수당,guest_flow,0.8748,동선이 매우 좋음
1130,셀럽앤어셈,guest_flow,0.8505,"하객 동선이 매끄럽고, 입구에서 홀까지 이동이 쉬움"
1134,용인 ict밸리컨벤션,guest_flow,0.8416,동선이 좋은 편
1275,천안티웨딩홀,guest_flow,0.8327,단층 구조로 하객 동선이 편리
1255,인천 부평 그레이스 파티,guest_flow,0.7808,"여유로운 단독홀, 하객 동선 걱정 없음"
1017,영등포 더컨벤션,guest_flow,0.7597,하객 이동 동선이 좋은 편
1263,서울 강남 아르베 웨딩,guest_flow,0.7218,동선이 매우 편리함
1168,문래 규수당,hall_vibe,0.6372,"단독홀, 화이트/핑크 정석 느낌, 동선이 매우 좋음"
1032,강남 상록아트홀,guest_flow,0.6276,하객들이 홀로 쉽게 이동 가능
1272,더 라움 – 마제스틱볼룸,hall_vibe,0.6231,"넓고 탁 트인 공간감, 단독 예식으로 하객들이 번잡하게 섞이지 않음"
1148,왕십리 H스퀘어웨딩,hall_vibe,0.5106,"넓고 편안한 분위기, 하객 친화적인 환경"
1039,수원 파티움하우스,guest_flow,0.5024,하객들이 섞이지 않고 오롯이 손님들만 모일 수 있는 단독홀
1054,강서 루이비스,hall_vibe,0.4927,"밝은 단독홀, 높은 층고, 한쪽에만 통창이 있는 쾌적한 분위기"
1275,천안티웨딩홀,hall_vibe,0.4806,"단층 구조로 편리한 동선, 3개의 아름다운 홀"
1255,인천 부평 그레이스 파티,guest_flow,0.4801,"단독홀, 동선이 간편함"
1193,인천 부평 그레이스파티,guest_flow,0.4192,"단독홀로 하객 혼잡 없음, 넓은 대기 공간"
1238,반포 jw메리어트반포(반리엇),hall_vibe,0.3979,"단독홀 구조로 여유로운 동선, 전체적인 플로럴 연출이 매우 완성도 높음"
1084,부천 라비에벨 웨딩,guest_flow,0.3614,이동 동선이 편리함
1122,에스칼라디움,hall_vibe,0.3455,"단독홀, 편리한 교통, 고급스러운 분위기"
1019,용인시 기흥구 ICT밸리컨벤션,hall_vibe,0.3003,"단독홀, 깔끔하고 넓은 주차장, 편리한 입구"
1090,역삼 GS타워 아모리스홀,guest_flow,0.2987,하객들이 홀 내부로 쉽게 이동 가능
1184,인천 부평 그레이스인천,hall_vibe,0.2306,"밝고 화사한 분위기, 단독홀로 동선이 간결함"
1184,인천 부평 그레이스인천,hall_vibe,0.2306,"밝고 화사한 분위기, 단독홀로 동선이 간결함"
1212,신도림 웨스턴베니비스,hall_vibe,0.2142,"어두운 홀, 적당한 층고, 여유 있는 좌석"
