hall_id,hall_name,aspect,cross_score,text
1126,반포 고터역 컨벤션홀,hall_vibe,0.9928,따뜻한 분위기의 식사 공간
1008,삼성 노블발렌티,hall_vibe,0.9254,분위기 좋은 채플홀과 연회장
1199,신도림 더세인트,hall_vibe,0.9154,"예쁜 홀, 깔끔한 분위기"
1020,송파 라비니움,catering,0.9000,정갈한 음식과 훌륭한 디저트
1008,삼성 노블발렌티,hall_vibe,0.8655,"차분하면서도 고급스러운 분위기, 천고가 높은 채플홀"
1194,부천 강서 루이비스컨벤션,catering,0.8489,식사 후기가 좋음
1016,삼성 더베일리하우스,hall_vibe,0.8246,"밝고 예쁜 채플홀, 규모가 작은 편"
1008,삼성 노블발렌티,hall_vibe,0.8127,"여유로운 자연광 채플홀, 높은 층고로 개방감이 뛰어남"
1209,논현 더채플 라메르홀,hall_vibe,0.8018,"고급스러운 분위기의 밝은 홀, 넓은 공간감"
1277,CN계산,catering,0.7942,"뷔페, 맛있다는 후기가 많음"
1181,송도 메리빌리아 셀레스메리홀,hall_vibe,0.7841,"예쁜 홀, 깔끔한 건물"
1066,백석 더테라스 단독홀,catering,0.7735,식사 퀄리티 아주 좋음
1008,삼성 노블발렌티,hall_vibe,0.7104,"채광이 좋은 밝은 홀, 고급스러운 분위기"
1016,삼성 더베일리하우스,hall_vibe,0.6453,"아담하고 밝은 채플홀, 천장이 낮아 더 아늑한 분위기 연출"
1210,논현 더 채플 앳 라포레홀,hall_vibe,0.6433,"밝은 홀과 채플홀의 조화, 특유의 분위기가 좋음"
1035,잠실 아펠가모,catering,0.6036,"밥펠가모로 유명, 보증된 식사"
1270,서울 신림 그레이스파티,hall_vibe,0.5844,"고급스럽고 넓은 홀, 높은 층고, 여유로운 분위기"
1214,JK아트컨벤션 아트리움홀,hall_vibe,0.5618,"식장에서 바로 나오자마자 식당으로 가는 동선이 좋고, 전체적으로 밝고 쾌적한 분위기"
1208,수원 이비스 호텔,hall_vibe,0.5602,"고급스러운 외관과 웅장한 홀, 편안한 분위기"
1195,공덕 아펠가모,hall_vibe,0.5277,"밝은 채플식 홀, 층고가 높아 답답함 없음"
1160,왕십리 H스퀘어웨딩홀 (한양대 동문회관),hall_vibe,0.4636,"밝고 모던한 분위기의 채플 홀, 높은 천장으로 개방감 있음"
1015,부천 소풍컨벤션,hall_vibe,0.4556,"넓고 깨끗한 로비, 리뉴얼된 신부대기실"
1198,대전 루이비스컨벤션 아모리스홀,catering,0.3568,맛있고 다양한 음식 제공
1006,강서 더퍼스트클래스파티,catering,0.3552,음식이 정갈하고 세련됨
1008,삼성 노블발렌티,hall_vibe,0.3335,"클래식한 채플홀, 고급스러움, 적당한 밝기, 층고 높음"
1265,강남 메종드 아나하,hall_vibe,0.2939,"단독홀, 넓은 공간과 개방감, 선큰 보이드로 막힌 느낌 없음"
1006,강서 더퍼스트클래스파티,catering,0.2756,음식이 다양하고 맛있음
1267,수원 라 뷔포레 (구 호텔리츠),hall_vibe,0.2744,"웨딩홀 전체를 식장으로 쓰는 느낌, 혼잡하지 않음"
1245,서울대 연구공원 웨딩홀,hall_vibe,0.2565,"리뉴얼된 예쁜 홀, 연회장 넓음"
1210,논현 더 채플 앳 라포레홀,hall_vibe,0.2469,밝은 채플홀의 고풍스러운 분위기와 높은 층고가 인상적
1035,잠실 아펠가모,hall_vibe,0.2299,깔끔하고 맛있는 분위기
1263,서울 강남 아르베 웨딩,hall_vibe,0.2097,"밝고 화사한 하우스웨딩 무드, 꽃으로 장식된 공간"
1255,인천 부평 그레이스 파티,catering,0.2045,"식사가 고급스럽고 만족스럽다는 평, 식대: 95000"
1206,CN웨딩홀 계산점,hall_vibe,0.2019,"깔끔하고 고급스러운 분위기, 넓고 천고가 높은 홀"
1210,논현 더 채플 앳 라포레홀,hall_vibe,0.1979,"밝고 화사한 홀, 채플 홀의 높은 층고로 인해 웅장함"
1258,공덕 아펠가모 라로브홀,hall_vibe,0.1961,"차분하고 클래식한 분위기, 세련된 원목색, 채광이 좋은 홀"
1278,성동구 H스퀘어 웨딩홀(한양대 동문회관),hall_vibe,0.1854,"우아한 채플 느낌의 밝은 홀, 층고는 보통 수준"
1168,문래 규수당,hall_vibe,0.1709,"단독홀, 화이트/핑크 정석 느낌, 동선이 매우 좋음"
1084,부천 라비에벨 웨딩,hall_vibe,0.1709,"넓고 층고가 높은 단독홀, 답답하지 않고 확 트인 분위기"
1160,왕십리 H스퀘어웨딩홀 (한양대 동문회관),hall_vibe,0.1470,"밝은 홀, 채플 형식으로 클래식한 분위기"
1260,이천 빌라드아모르 웨딩홀,hall_vibe,0.1382,"밝고 교회 분위기, 자연광이 잘 들어오는 홀"
1259,신라호텔 다이너스티,hall_vibe,0.1275,고급스럽고 품격 있는 분위기
1249,여의도 더파티움 파티움홀,hall_vibe,0.1188,"밝은 홀, 생화 향기가 느껴지는 쾌적한 분위기"
1054,강서 루이비스,hall_vibe,0.1059,"밝은 홀, 층고가 높아 답답함 없음"
1008,삼성 노블발렌티,catering,0.1010,"코스 식사, 깔끔하고 정갈한 식당"
1253,부천 채림 웨딩홀,hall_vibe,0.0952,"단정하면서도 적당히 화려한 분위기, 버진로드가 길어 입장 연출이 예쁨"
1225,라브르에드니아 더나노주,catering,0.0887,"식사가 깔끔하고 고급스러움, 식대: 115000"
1280,드레스가든,hall_vibe,0.0789,"모던하고 밝은 분위기의 중간 크기의 홀, 낮은 층고로 인해 친밀감 있는 느낌을 줌"
1049,dmc 타워웨딩,catering,0.0774,"식사가 깔끔하고 정갈함, 식대: 78000"
1147,삼성 그랜드 인터컨티넨탈 파르나스 5F 그랜드볼룸,catering,0.0619,"식사 퀄리티 우수, 식대: 180000"
1216,대전 팔레드오페라 트리아농홀,catering,0.0614,음식 평이 좋고 시식 후기 만족도 높음
1248,동촌 노비아갈라,hall_vibe,0.0599,"화려하고 밝은 홀, 샹들리에와 꽃이 잘 어울림"
1021,경기장 그랜드오스티엄 cmcc홀,catering,0.0576,"식사가 깔끔하고 전반적으로 만족스러움, 식대: 68000"
1117,강동루벨,catering,0.0574,"식사가 고급스럽지만 종류가 적음, 식대: 90000"
1191,강남 라움아트센터,catering,0.0528,"식사의 질이 매우 높으며 하객들의 후기가 좋음, 식대: 125000"
1261,선정릉>더 라움>체임버홀,hall_vibe,0.0515,"고풍스럽고 웅장한 분위기, 층고 9.5m로 높음"
1058,안양 빌라드지디 크리스탈캐슬홀,catering,0.0490,"뷔페 식사가 화려하며, 식대: 95000"
1234,소피텔,catering,0.0488,"식사가 정갈하고 다채로움, 식대: 150000"
1185,오목교역 로프트가든344,catering,0.0479,"식사가 깔끔하고 정갈하며, 식대: 85000"
1054,강서 루이비스,catering,0.0457,"정가 식대 8.8만원, 루이비스의 식사가 맛있기로 유명"
1246,강남 그랜드머큐어 임피리얼팰리스,catering,0.0434,"식사 퀄리티 우수하며 코스 요리로 제공됨, 식대: 145000"
1120,신도림 더세인트 웨딩홀,catering,0.0429,"식사의 퀄리티가 높고, 다양한 코스 선택 가능, 식대: 130000"
1022,신도림 더링크 호텔,catering,0.0408,"식사 퀄리티 높고, 주류 포함. 식대: 120000"
1179,강남 세인트 메리엘,catering,0.0353,"식사가 매우 정성스럽고 맛있음, 식대: 97000"
1256,서울특별시 송파구 백제고분로 128 BS타워 6층 라브르 에드니아,catering,0.0346,"식사는 다채로운 메뉴로 구성되어 있으며, 퀄리티가 뛰어남. 식대: 150000"
1121,신사 더컨벤션,hall_vibe,0.0341,"어두운 홀, 층고 10m 이상, 좌석 간격 넓음"
1140,영등포 웨스턴베니비스,catering,0.0308,"식사 메뉴가 다양하고 퀄리티가 높음, 식대: 138000"
1228,수원 wi컨벤션,hall_vibe,0.0294,"훌륭한 자연 채광이 특징인 밝은 홀, 높은 층고로 웅장함 제공"
1029,서울역 인근 아벤티움,catering,0.0273,"식사가 깔끔하고 맛있으며 신선함, 식대: 92000"
1112,영등포 더링크호텔,catering,0.0249,"음식 퀄리티가 높고 풍부한 양, 식대: 150000"
1072,송도 라마다송도 신의정원,catering,0.0236,"식사가 깔끔하고 양도 충분함, 식대: 72000"
1055,건대입구 까사그랑데 센트로,catering,0.0231,"식사 메뉴가 다양하고 퀄리티가 높음, 식대: 110000"
1253,부천 채림 웨딩홀,catering,0.0223,식사가 다양하고 맛있다는 평이 많음. 식대: 80000
1180,광명 아이벡스 컨벤션,catering,0.0184,"식사 종류는 다양하며 전체적으로 맛있음, 식대: 115000"
