rank,hall_id,hall_name,total_score
1,1126,반포 고터역 컨벤션홀,0.8987
2,1262,지하철역 근처 웨딩여율리,0.7403
3,1129,광명 아이벡스컨벤션,0.6911
4,1189,다르미앙,0.5974
5,1208,수원 이비스 호텔,0.4928
6,1059,서울 라움아트센터 폰드가든,0.4398
7,1144,sy컨벤션,0.3404
8,1054,강서 루이비스,0.3171
9,1116,수원 라 뷔 포레 (구 호텔리츠),0.2969
10,1199,신도림 더세인트,0.2664
11,1259,신라호텔 다이너스티,0.1961
12,1173,발산역 더베뉴지,0.1678
13,1223,중구 루이비스 웨딩홀,0.1525
14,1229,송파 문정 루이비스,0.1388
15,1180,광명 아이벡스 컨벤션,0.1353
16,1267,수원 라 뷔포레 (구 호텔리츠),0.1303
17,1050,안양 더파티움,0.1234
18,1025,여의도 글래드,0.1185
19,1235,루이비스,0.1129
20,1198,대전 루이비스컨벤션 아모리스홀,0.1089
