hall_id,hall_name,aspect,cross_score,text
1126,반포 고터역 컨벤션홀,hall_vibe,0.9990,따뜻한 분위기의 식사 공간
1036,남산뜰,hall_vibe,0.9777,"프라이빗한 결혼식 느낌의 야외 예식홀, 루프탑이 매력적"
1214,JK아트컨벤션 아트리움홀,hall_vibe,0.9735,"식장에서 바로 나오자마자 식당으로 가는 동선이 좋고, 전체적으로 밝고 쾌적한 분위기"
1191,강남 라움아트센터,hall_vibe,0.9726,"서울 중심에 위치한 폰드가든을 갖춘 밝은 야외예식 공간, 층고는 중간 정도로 아늑함"
1191,강남 라움아트센터,hall_vibe,0.9348,"야외예식이 가능한 서울 중심의 독특한 공간, 폰드가든이 귀여운 분위기"
1056,강남 브라이튼 하우스,hall_vibe,0.9069,"깔끔하고 환한 예식장, 온실 같은 분위기"
1168,문래 규수당,hall_vibe,0.8063,"단독홀, 화이트/핑크 정석 느낌, 동선이 매우 좋음"
1263,서울 강남 아르베 웨딩,catering,0.7509,"정가 식대 89,000원, 대관료 950만원 할인 식대 85,000원, 대관료 890만원"
1187,논현 빌라드지디,hall_vibe,0.6852,동화 속 결혼식 같은 예쁜 분위기
1271,강남 베스트웨스턴프리미어,hall_vibe,0.6055,"올드한 느낌이 있는 공간, 야외 웨딩 느낌 가능"
1245,서울대 연구공원 웨딩홀,catering,0.5898,"식대 65,000원, 뷔페식으로 종류 많고 맛있음"
1050,안양 더파티움,hall_vibe,0.5653,"밝고 야외 느낌의 라포레홀, 생화 향이 나는 깨끗한 분위기"
1135,광명무역센터컨벤션,catering,0.5405,"식대 95,000원, 맛있는 음식으로 유명, 생연어와 즉석 스테이크 제공"
1277,CN계산,catering,0.5291,"뷔페, 맛있다는 후기가 많음"
1214,JK아트컨벤션 아트리움홀,hall_vibe,0.5256,식장 내부가 밝고 천장이 높아 웅장한 느낌을 줌
1252,신도림 더세인트 그랜드볼룸홀,catering,0.4312,"식대 13만원, 동시 예식이지만 맛있기로 유명, 특히 국수 존맛"
1154,강서 루이비스컨벤션,catering,0.4240,"뷔페 형식으로 제공되며 음식 종류가 다양하고 맛이 좋음, 식대: 85000"
1056,강남 브라이튼 하우스,hall_vibe,0.3702,"온실 같은 밝은 느낌의 예식장, 높은 층고로 시원한 느낌"
1219,소공동 롯데호텔 서울,catering,0.2970,"뷔페식 웨딩메뉴는 훌륭하며 다양성도 높음, 식대: 130000"
1265,강남 메종드 아나하,hall_vibe,0.2869,"단독홀, 넓은 공간과 개방감, 선큰 보이드로 막힌 느낌 없음"
