rank,hall_id,hall_name,total_score
1,1263,서울 강남 아르베 웨딩,1.7425
2,1168,문래 규수당,1.6128
3,1126,반포 고터역 컨벤션홀,1.4985
4,1036,남산뜰,1.4665
5,1214,JK아트컨벤션 아트리움홀,1.4603
6,1191,강남 라움아트센터,1.4589
7,1056,강남 브라이튼 하우스,1.3603
8,1050,안양 더파티움,1.1325
9,1187,논현 빌라드지디,1.0278
10,1271,강남 베스트웨스턴프리미어,0.9083
11,1245,서울대 연구공원 웨딩홀,0.8847
12,1135,광명무역센터컨벤션,0.8108
13,1277,CN계산,0.7936
14,1252,신도림 더세인트 그랜드볼룸홀,0.6467
15,1154,강서 루이비스컨벤션,0.6361
16,1265,강남 메종드 아나하,0.5955
17,1219,소공동 롯데호텔 서울,0.4455
18,1208,수원 이비스 호텔,0.3914
19,1267,수원 라 뷔포레 (구 호텔리츠),0.3885
20,1084,부천 라비에벨 웨딩,0.2582
