rank,hall_id,hall_name,total_score
1,1199,신도림 더세인트,3.9913
2,1269,강서 라로브홀,3.9901
3,1135,광명무역센터컨벤션,3.9865
4,1030,라시따시어터,3.9696
5,1031,인천 그레이스 파티,3.8674
6,1042,인천 엘마리노,3.3115
7,1034,기흥 ICT밸리컨벤션,2.9024
8,1016,삼성 더베일리하우스,1.4999
9,1233,수원 리츠호텔,1.4999
10,1202,강남 라온제나,1.4997
11,1086,부천 MJ컨벤션,1.4994
12,1038,엘타워 그랜드홀,1.4994
13,1132,서울대학교 이라운지,1.4988
14,1144,sy컨벤션,1.4988
15,1113,인천 그랜드오스티엄/CMCC홀,1.4987
16,1076,강남 조선팰리스 더 그레이트홀,1.4987
17,1212,신도림 웨스턴베니비스,1.4983
18,1056,강남 브라이튼 하우스,1.4982
19,1001,신사 더컨벤션 단독홀,1.4982
20,1247,지타워컨벤션,1.4982
